TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,CustomerAgeBin,TransactionAmountBin,AccountBalanceBin,TransactionDurationBin,Target
0.015408955689503429,2023-04-11 16:29:14,1,36,0,0.8387096774193548,0,0.24482758620689654,0.0,0.33683185966817997,2024-11-04 08:08:08,2,1,1,2,0
0.4189052176528918,2023-06-27 16:44:19,1,15,0,0.8064516129032258,0,0.4517241379310345,0.0,0.9180546275595325,2024-11-04 08:09:35,2,2,2,2,0
0.14041870466725345,2023-07-10 18:16:08,1,23,2,0.016129032258064557,3,0.1586206896551724,0.0,0.06863734931174434,2024-11-04 08:07:04,1,1,0,0,1
0.20527447550499703,2023-05-05 16:32:11,1,33,2,0.12903225806451613,3,0.051724137931034475,0.0,0.5691979560038019,2024-11-04 08:09:06,1,1,2,0,2
0.014695887602642815,2023-10-16 17:51:24,0,1,2,0.42908889737746814,3,0.6482758620689655,0.0,0.49259111875316763,2024-11-04 08:06:39,0,1,1,1,2
0.102380978908783,2023-04-03 17:15:01,1,28,0,0.0,3,0.5586206896551724,0.0,0.04573784310272272,2024-11-04 08:06:36,1,1,0,2,1
0.007598631800608352,2023-02-15 16:36:48,0,39,0,0.3064516129032258,0,0.44482758620689655,0.0,0.8883303734554746,2024-11-04 08:10:09,0,1,2,2,2
0.19070114647978337,2023-05-08 17:47:59,0,16,1,0.7903225806451613,2,0.9689655172413794,0.0,0.1811546077971383,2024-11-04 08:10:55,2,1,1,1,0
0.11806847681971633,2023-03-21 16:59:46,0,11,1,0.532258064516129,1,0.26206896551724135,0.0,0.6045605421617908,2024-11-04 08:11:14,2,1,2,2,0
0.908827560081557,2023-03-31 16:06:57,1,26,0,0.5967741935483871,0,0.3793103448275862,0.0,0.0618838535862023,2024-11-04 08:06:32,2,0,0,2,3
0.019520238877809126,2023-03-14 16:46:10,0,0,2,0.5483870967741935,1,0.16896551724137931,0.0,0.5040264197666962,2024-11-04 08:06:45,2,1,1,0,0
0.21142468775416978,2023-02-06 17:30:00,1,22,2,0.04838709677419356,3,0.5620689655172414,0.0,0.09595919536134925,2024-11-04 08:07:12,1,1,0,2,1
0.5506891134558176,2023-06-07 17:21:28,0,23,1,0.09677419354838712,3,0.3482758620689655,0.0,0.1020902428892351,2024-11-04 08:08:38,1,2,0,2,1
0.8707229841899433,2023-11-20 16:39:15,1,22,0,0.12903225806451613,3,0.3896551724137931,0.0,0.005944850820811476,2024-11-04 08:07:06,1,0,0,2,1
0.18576537831604514,2023-02-13 16:53:57,1,21,2,0.0,3,0.4275862068965517,0.0,0.013355076448200331,2024-11-04 08:10:09,1,1,0,2,1
0.518300223947946,2023-12-12 16:23:31,1,10,0,0.2903225806451613,1,0.4103448275862069,0.0,0.22614430312017278,2024-11-04 08:12:19,0,2,1,2,2
0.6189653827727206,2023-10-30 16:52:49,0,2,1,0.016129032258064557,3,0.5103448275862069,0.0,0.06923627084966191,2024-11-04 08:07:35,1,0,0,2,1
0.5489175849275232,2023-12-14 18:32:14,1,8,2,0.33870967741935487,1,0.7724137931034483,0.0,0.33668128904585276,2024-11-04 08:11:51,0,2,1,1,2
0.02052299087495682,2023-02-21 16:56:50,0,0,1,0.6612903225806451,2,0.3310344827586207,0.0,0.5274757776233233,2024-11-04 08:12:01,2,1,1,2,0
0.07935110804095688,2023-06-08 18:18:50,0,8,2,0.0,3,0.5482758620689655,0.0,0.43472830741143553,2024-11-04 08:09:20,1,1,1,2,1
0.06580281439060531,2023-02-28 16:36:58,1,20,1,0.8548387096774193,2,0.096551724137931,0.0,0.37976330835922384,2024-11-04 08:09:24,2,1,1,0,0
0.0952725814178913,2023-08-11 18:31:31,1,19,1,0.3225806451612903,0,0.28620689655172415,0.0,0.6079920735322388,2024-11-04 08:08:13,0,1,2,2,2
0.05786993192428108,2023-06-06 18:54:15,1,1,2,0.33870967741935487,1,0.3793103448275862,0.0,0.5964801428269904,2024-11-04 08:07:01,0,1,2,2,2
0.38503448352701297,2023-05-02 18:25:46,1,13,2,0.06451612903225806,3,0.45517241379310347,0.0,0.08746875995681846,2024-11-04 08:07:04,1,2,0,2,1
0.16186645571735764,2023-03-02 16:43:56,1,33,2,0.04838709677419356,3,0.296551724137931,0.0,0.12299132740103003,2024-11-04 08:07:09,1,1,0,2,1
0.008055441043753414,2023-10-20 17:53:13,0,15,2,0.7580645161290323,2,0.9172413793103449,0.0,0.2375130572961549,2024-11-04 08:09:44,2,1,1,1,0
